2026-09-15T04:33:06+00:00 | tx=pdx_10205848 | http=400 | sinais=fbp,client_ip_address,client_user_agent,fn,ph | value=2 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AXTH4VLAIXGbmw9dYtNXdmw"}}
2026-09-15T04:37:49+00:00 | IC tx=41488ddd-8e3a-4eb3-8607-d13352129c7e | http=400 | sinais=fbc,client_ip_address,client_user_agent,fn | value=34.46 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"Arx28UARbQOUeCd33omzVkj"}}
2026-09-15T04:38:08+00:00 | IC tx=d2cdfc2e-23df-4679-bf54-a6482a10bfdb | http=400 | sinais=client_ip_address,client_user_agent,fn | value=38.4 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AGuP5frhZCjunLfPTertvp-"}}
2026-09-15T04:38:40+00:00 | IC tx=pdx_10205885 | http=400 | sinais=fbc,client_ip_address,client_user_agent,fn | value=34.46 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"A3_t3dvf02gi-BQS8lEmvE2"}}
2026-09-15T04:40:44+00:00 | IC tx=6a867e82-8817-43f4-b7cf-e21131d1374f | http=400 | sinais=client_ip_address,client_user_agent,fn | value=43.92 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"Ay7eb4pnwuXZh-gJGMYLhyl"}}
2026-09-15T04:40:47+00:00 | tx=6a867e82-8817-43f4-b7cf-e21131d1374f | http=400 | sinais=client_ip_address,client_user_agent,fn,ph | value=43.92 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AycV4Rbt3YU1eiDRuVfFayg"}}
2026-09-15T04:48:33+00:00 | IC tx=pdx_10205941 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=68.92 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AAPsQ1AAVkEvXSSy72DMtJN"}}
2026-09-15T04:48:34+00:00 | IC tx=pdx_10205942 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=34.46 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AmoY_jo1QBhLXdR0S2W4F1q"}}
2026-09-15T04:48:35+00:00 | IC tx=pdx_10205943 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=43.92 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AyrCF5-Pv7PAdeVjeHuvkF1"}}
2026-09-15T04:48:36+00:00 | IC tx=pdx_10205944 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=67.43 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AH8CehdZPWu9i_GmnHQzYv2"}}
2026-09-15T04:48:38+00:00 | IC tx=pdx_10205945 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=78.25 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"A4QBWxRyJCxy_uiNYys6iMI"}}
2026-09-15T04:49:08+00:00 | IC tx=e7c95afd-21e7-4d2e-8634-3481e06fac09 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=38.4 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AwCsdWDz30QtfTiVYad6rw8"}}
2026-09-15T04:49:51+00:00 | IC tx=c02edb0b-c5a4-4e0a-a09f-e47c8ef3fc43 | http=400 | sinais=client_ip_address,client_user_agent,fn | value=45.6 | resp={"error":{"message":"Invalid OAuth access token - Cannot parse access token","type":"OAuthException","code":190,"fbtrace_id":"AZ4LDIbKtSYj7SgCQ4yXT-C"}}
